a,b,aw,bw,dr
Chuul,Orc War Chief,8,1,0
Chuul,Elephant,5,4,0
Chuul,Wereboar,7,2,0
Couatl,Helmed Horror,2,7,0
Couatl,Ettin,9,0,0
Couatl,Lizard King,7,2,0
Couatl,Shadow Demon,9,0,0
Couatl,Elephant,9,0,0
Couatl,Orc War Chief,9,0,0
Couatl,Lizard Queen,7,2,0
Elephant,Ettin,3,6,0
Couatl,Wereboar,9,0,0
Couatl,Weretiger,9,0,0
Elephant,Helmed Horror,0,9,0
Elephant,Lizard Queen,2,7,0
Elephant,Lizard King,2,7,0
Elephant,Shadow Demon,1,8,0
Elephant,Orc War Chief,7,2,0
Elephant,Weretiger,5,4,0
Elephant,Wereboar,5,4,0
Ettin,Helmed Horror,0,9,0
Ettin,Orc War Chief,6,3,0
Ettin,Lizard King,2,7,0
Ettin,Lizard Queen,2,7,0
Ettin,Shadow Demon,3,6,0
Ettin,Weretiger,5,4,0
Ettin,Wereboar,7,2,0
Helmed Horror,Lizard King,9,0,0
Helmed Horror,Lizard Queen,9,0,0
Helmed Horror,Shadow Demon,6,3,0
Helmed Horror,Orc War Chief,9,0,0
Helmed Horror,Wereboar,9,0,0
Helmed Horror,Bulette,8,1,0
Helmed Horror,Weretiger,9,0,0
Lizard King,Lizard Queen,4,5,0
Lizard King,Orc War Chief,9,0,0
Lizard King,Shadow Demon,5,4,0
Lizard King,Wereboar,9,0,0
Lizard King,Weretiger,7,2,0
Lizard King,Bulette,5,4,0
Lizard Queen,Orc War Chief,9,0,0
Lizard King,Earth Elemental,0,9,0
Lizard Queen,Shadow Demon,5,4,0
Lizard Queen,Wereboar,9,0,0
Lizard King,Fire Elemental,2,7,0
Lizard Queen,Weretiger,7,2,0
Lizard Queen,Bulette,5,4,0
Lizard Queen,Flesh Golem,3,6,0
Lizard Queen,Earth Elemental,0,9,0
Orc War Chief,Shadow Demon,0,9,0
Lizard Queen,Fire Elemental,2,7,0
Orc War Chief,Wereboar,3,6,0
Orc War Chief,Weretiger,2,7,0
Orc War Chief,Bulette,0,9,0
Orc War Chief,Earth Elemental,0,9,0
Orc War Chief,Flesh Golem,0,9,0
Orc War Chief,Giant Crocodile,0,9,0
Orc War Chief,Fire Elemental,0,9,0
Shadow Demon,Wereboar,9,0,0
Shadow Demon,Weretiger,9,0,0
Shadow Demon,Bulette,3,6,0
Shadow Demon,Earth Elemental,4,5,0
Shadow Demon,Flesh Golem,2,7,0
Shadow Demon,Giant Shark,0,9,0
Shadow Demon,Giant Crocodile,1,8,0
Shadow Demon,Gladiator,1,8,0
Shadow Demon,Fire Elemental,4,5,0
Wereboar,Weretiger,0,9,0
Wereboar,Bulette,0,9,0
Wereboar,Earth Elemental,0,9,0
Wereboar,Flesh Golem,0,9,0
Wereboar,Fire Elemental,0,9,0
Wereboar,Gladiator,0,9,0
Wereboar,Giant Crocodile,0,9,0
Wereboar,Giant Shark,0,9,0
Weretiger,Bulette,0,9,0
Weretiger,Flesh Golem,0,9,0
Weretiger,Earth Elemental,0,9,0
Weretiger,Fire Elemental,0,9,0
Weretiger,Giant Crocodile,0,9,0
Weretiger,Giant Shark,0,9,0
Weretiger,Gladiator,0,9,0
Weretiger,Hill Giant,0,9,0
Bulette,Earth Elemental,2,7,0
Bulette,Flesh Golem,2,7,0
Bulette,Giant Shark,7,2,0
Bulette,Gladiator,2,7,0
Bulette,Fire Elemental,6,3,0
Bulette,Giant Crocodile,7,2,0
Bulette,Red Slaad,9,0,0
Bulette,Otyugh,6,3,0
Bulette,Hill Giant,6,3,0
Earth Elemental,Flesh Golem,3,6,0
Earth Elemental,Fire Elemental,4,5,0
Earth Elemental,Giant Crocodile,9,0,0
Earth Elemental,Giant Shark,9,0,0
Earth Elemental,Gladiator,7,2,0
Earth Elemental,Hill Giant,8,1,0
Earth Elemental,Otyugh,9,0,0
Earth Elemental,Red Slaad,9,0,0
Earth Elemental,Sahuagin Baron,7,2,0
Earth Elemental,Salamander,9,0,0
Fire Elemental,Flesh Golem,4,5,0
Fire Elemental,Giant Crocodile,8,1,0
Fire Elemental,Giant Shark,8,1,0
Fire Elemental,Gladiator,5,4,0
Fire Elemental,Hill Giant,9,0,0
Fire Elemental,Otyugh,8,1,0
Fire Elemental,Red Slaad,0,9,0
Fire Elemental,Sahuagin Baron,6,3,0
Flesh Golem,Giant Crocodile,8,1,0
Flesh Golem,Giant Shark,8,1,0
Fire Elemental,Salamander,0,9,0
Fire Elemental,Shambling Mound,0,9,0
Flesh Golem,Gladiator,2,7,0
Flesh Golem,Hill Giant,8,1,0
Flesh Golem,Otyugh,5,4,0
Flesh Golem,Red Slaad,5,4,0
Flesh Golem,Sahuagin Baron,8,1,0
Flesh Golem,Shambling Mound,4,5,0
Flesh Golem,Salamander,5,4,0
Flesh Golem,Triceratops,9,0,0
Giant Crocodile,Gladiator,4,5,0
Giant Crocodile,Giant Shark,9,0,0
Giant Crocodile,Hill Giant,0,9,0
Giant Crocodile,Otyugh,3,6,0
Giant Crocodile,Red Slaad,7,2,0
Giant Crocodile,Sahuagin Baron,6,3,0
Giant Crocodile,Salamander,0,9,0
Giant Crocodile,Shambling Mound,4,5,0
Giant Shark,Gladiator,5,4,0
Giant Crocodile,Troll,7,2,0
Giant Shark,Hill Giant,0,9,0
Giant Shark,Otyugh,0,9,0
Giant Crocodile,Triceratops,7,2,0
Giant Shark,Shambling Mound,2,7,0
Giant Shark,Red Slaad,7,2,0
Giant Shark,Sahuagin Baron,4,5,0
Giant Shark,Salamander,0,9,0
Giant Shark,Troll,5,4,0
Gladiator,Otyugh,7,2,0
Gladiator,Hill Giant,6,3,0
Giant Shark,Triceratops,5,4,0
Gladiator,Red Slaad,5,4,0
Gladiator,Sahuagin Baron,5,4,0
Gladiator,Shambling Mound,4,5,0
Gladiator,Salamander,4,5,0
Gladiator,Troll,7,2,0
Gladiator,Triceratops,7,2,0
Hill Giant,Otyugh,7,2,0
Hill Giant,Red Slaad,7,2,0
Hill Giant,Sahuagin Baron,3,6,0
Hill Giant,Shambling Mound,3,6,0
Hill Giant,Salamander,4,5,0
Hill Giant,Troll,5,4,0
Hill Giant,Vampire Spawn,0,9,0
Hill Giant,Werebear,4,5,0
Hill Giant,Triceratops,6,3,0
Otyugh,Red Slaad,8,1,0
Otyugh,Sahuagin Baron,3,6,0
Otyugh,Salamander,2,7,0
Otyugh,Shambling Mound,5,4,0
Otyugh,Troll,5,4,0
Otyugh,Vampire Spawn,0,9,0
Otyugh,Werebear,7,2,0
Otyugh,Wraith,6,3,0
Otyugh,Xorn,2,7,0
Otyugh,Triceratops,3,6,0
Otyugh,Young Remorhaz,5,4,0
Red Slaad,Sahuagin Baron,2,7,0
Red Slaad,Salamander,0,9,0
Red Slaad,Shambling Mound,1,8,0
Red Slaad,Triceratops,6,3,0
Red Slaad,Troll,3,6,0
Red Slaad,Vampire Spawn,0,9,0
Red Slaad,Wraith,1,8,0
Red Slaad,Werebear,9,0,0
Red Slaad,Xorn,1,8,0
Red Slaad,Young Remorhaz,5,4,0
Sahuagin Baron,Shambling Mound,5,4,0
Sahuagin Baron,Salamander,2,7,0
Sahuagin Baron,Troll,6,3,0
Sahuagin Baron,Vampire Spawn,0,9,0
Sahuagin Baron,Wraith,7,2,0
Sahuagin Baron,Triceratops,7,2,0
Sahuagin Baron,Xorn,5,4,0
Sahuagin Baron,Werebear,6,3,0
Sahuagin Baron,Young Remorhaz,8,1,0
Salamander,Shambling Mound,8,1,0
Sahuagin Baron,Cyclops,3,6,0
Salamander,Troll,9,0,0
Salamander,Vampire Spawn,1,8,0
Salamander,Xorn,6,3,0
Salamander,Werebear,9,0,0
Salamander,Wraith,7,2,0
Salamander,Young Remorhaz,8,1,0
Salamander,Galeb Duhr,9,0,0
Salamander,Triceratops,9,0,0
Shambling Mound,Troll,3,6,0
Shambling Mound,Vampire Spawn,0,9,0
Salamander,Cyclops,2,7,0
Shambling Mound,Xorn,2,7,0
Shambling Mound,Wraith,9,0,0
Shambling Mound,Young Remorhaz,9,0,0
Shambling Mound,Triceratops,9,0,0
Shambling Mound,Werebear,6,3,0
Shambling Mound,Galeb Duhr,9,0,0
Shambling Mound,Cyclops,2,7,0
Triceratops,Troll,4,5,0
Triceratops,Vampire Spawn,0,9,0
Triceratops,Wraith,4,5,0
Triceratops,Werebear,5,4,0
Triceratops,Young Remorhaz,7,2,0
Triceratops,Xorn,3,6,0
Troll,Vampire Spawn,0,9,0
Triceratops,Galeb Duhr,4,5,0
Troll,Wraith,5,4,0
Troll,Werebear,8,1,0
Triceratops,Cyclops,2,7,0
Troll,Xorn,1,8,0
Troll,Young Remorhaz,6,3,0
Troll,Galeb Duhr,9,0,0
Troll,Invisible Stalker,7,2,0
Troll,Cyclops,4,5,0
Vampire Spawn,Werebear,9,0,0
Vampire Spawn,Wraith,4,5,0
Vampire Spawn,Xorn,9,0,0
Vampire Spawn,Young Remorhaz,9,0,0
Vampire Spawn,Galeb Duhr,9,0,0
Vampire Spawn,Invisible Stalker,9,0,0
Vampire Spawn,Cyclops,9,0,0
Vampire Spawn,Mammoth,9,0,0
Werebear,Wraith,0,9,0
Werebear,Xorn,1,8,0
Werebear,Young Remorhaz,1,8,0
Werebear,Galeb Duhr,5,4,0
Werebear,Cyclops,3,6,0
Werebear,Invisible Stalker,3,6,0
Wraith,Xorn,2,7,0
Wraith,Young Remorhaz,3,6,0
Werebear,Mammoth,3,6,0
Wraith,Galeb Duhr,9,0,0
Wraith,Cyclops,0,9,0
Wraith,Invisible Stalker,5,4,0
Wraith,Wyvern,6,3,0
Wraith,Mammoth,1,8,0
Xorn,Young Remorhaz,8,1,0
Xorn,Cyclops,1,8,0
Xorn,Galeb Duhr,8,1,0
Xorn,Invisible Stalker,6,3,0
Xorn,Mammoth,5,4,0
Xorn,Wyvern,4,5,0
Young Remorhaz,Galeb Duhr,5,4,0
Xorn,Young Brass Dragon,4,5,0
Young Remorhaz,Cyclops,3,6,0
Young Remorhaz,Invisible Stalker,1,8,0
Young Remorhaz,Wyvern,1,8,0
Young Remorhaz,Mammoth,2,7,0
Young Remorhaz,Young Brass Dragon,0,9,0
Cyclops,Galeb Duhr,9,0,0
Cyclops,Invisible Stalker,8,1,0
Cyclops,Wyvern,6,3,0
Cyclops,Young Brass Dragon,7,2,0
Cyclops,Blue Slaad,4,5,0
Cyclops,Mammoth,5,4,0
Cyclops,Giant Ape,6,3,0
Galeb Duhr,Invisible Stalker,2,7,0
Galeb Duhr,Mammoth,4,5,0
Galeb Duhr,Wyvern,8,1,0
Galeb Duhr,Young Brass Dragon,4,5,0
Galeb Duhr,Blue Slaad,0,9,0
Galeb Duhr,Grick Alpha,0,9,0
Galeb Duhr,Giant Ape,0,9,0
Invisible Stalker,Mammoth,5,4,0
Invisible Stalker,Young Brass Dragon,3,6,0
Invisible Stalker,Wyvern,9,0,0
Invisible Stalker,Blue Slaad,1,8,0
Invisible Stalker,Grick Alpha,0,9,0
Invisible Stalker,Giant Ape,2,7,0
Invisible Stalker,Shield Guardian,0,9,0
Invisible Stalker,Stone Giant,1,8,0
Mammoth,Blue Slaad,1,8,0
Mammoth,Wyvern,5,4,0
Mammoth,Giant Ape,0,9,0
Mammoth,Young Brass Dragon,7,2,0
Mammoth,Shield Guardian,0,9,0
Mammoth,Grick Alpha,1,8,0
Mammoth,Stone Giant,1,8,0
Mammoth,Young Copper Dragon,6,3,0
Mammoth,Young Black Dragon,3,6,0
Wyvern,Young Brass Dragon,7,2,0
Wyvern,Blue Slaad,2,7,0
Wyvern,Grick Alpha,2,7,0
Wyvern,Giant Ape,2,7,0
Wyvern,Shield Guardian,0,9,0
Wyvern,Young Black Dragon,3,6,0
Wyvern,Young Copper Dragon,7,2,0
Wyvern,Stone Giant,0,9,0
Wyvern,Assassin,0,9,0
Young Brass Dragon,Blue Slaad,2,7,0
Young Brass Dragon,Giant Ape,0,9,0
Young Brass Dragon,Grick Alpha,0,9,0
Young Brass Dragon,Shield Guardian,1,8,0
Young Brass Dragon,Young Black Dragon,2,7,0
Young Brass Dragon,Stone Giant,0,9,0
Young Brass Dragon,Assassin,3,6,0
Young Brass Dragon,Young Copper Dragon,5,4,0
Blue Slaad,Shield Guardian,6,3,0
Blue Slaad,Grick Alpha,3,6,0
Blue Slaad,Giant Ape,4,5,0
Blue Slaad,Assassin,7,2,0
Blue Slaad,Young Copper Dragon,8,1,0
Blue Slaad,Young Black Dragon,4,5,0
Blue Slaad,Stone Giant,4,5,0
Blue Slaad,Frost Giant,0,9,0
Giant Ape,Grick Alpha,4,5,0
Giant Ape,Shield Guardian,5,4,0
Giant Ape,Assassin,6,3,0
Giant Ape,Young Black Dragon,7,2,0
Giant Ape,Young Copper Dragon,9,0,0
Giant Ape,Stone Giant,3,6,0
Grick Alpha,Shield Guardian,8,1,0
Giant Ape,Frost Giant,4,5,0
Grick Alpha,Young Black Dragon,9,0,0
Grick Alpha,Young Copper Dragon,9,0,0
Grick Alpha,Stone Giant,6,3,0
Grick Alpha,Assassin,7,2,0
Grick Alpha,Frost Giant,5,4,0
Shield Guardian,Assassin,9,0,0
Shield Guardian,Stone Giant,3,6,0
Shield Guardian,Young Copper Dragon,8,1,0
Shield Guardian,Young Black Dragon,7,2,0
Shield Guardian,Frost Giant,0,9,0
Shield Guardian,Hydra,0,9,0
Stone Giant,Assassin,5,4,0
Stone Giant,Young Black Dragon,8,1,0
Stone Giant,Young Copper Dragon,9,0,0
Stone Giant,Hydra,0,9,0
Stone Giant,Frost Giant,4,5,0
Young Black Dragon,Assassin,7,2,0
Young Black Dragon,Young Copper Dragon,4,5,0
Young Black Dragon,Frost Giant,1,8,0
Stone Giant,Tyrannosaurus Rex,1,8,0
Young Black Dragon,Hydra,0,9,0
Young Black Dragon,Tyrannosaurus Rex,0,9,0
Young Black Dragon,Young Bronze Dragon,4,5,0
Young Copper Dragon,Assassin,3,6,0
Young Copper Dragon,Frost Giant,0,9,0
Young Copper Dragon,Hydra,0,9,0
Young Copper Dragon,Tyrannosaurus Rex,0,9,0
Young Copper Dragon,Young Bronze Dragon,2,7,0
Assassin,Frost Giant,0,9,0
Assassin,Hydra,0,9,0
Assassin,Tyrannosaurus Rex,1,8,0
Assassin,Young Bronze Dragon,0,9,0
Assassin,Bone Devil,0,9,0
Frost Giant,Hydra,1,8,0
Frost Giant,Tyrannosaurus Rex,4,5,0
Frost Giant,Young Bronze Dragon,9,0,0
Frost Giant,Bone Devil,0,9,0
Frost Giant,Clay Golem,2,7,0
Frost Giant,Fire Giant,0,9,0
Hydra,Tyrannosaurus Rex,9,0,0
Hydra,Young Bronze Dragon,9,0,0
Hydra,Bone Devil,0,9,0
Hydra,Clay Golem,5,4,0
Hydra,Fire Giant,5,4,0
Hydra,Treant,1,8,0
Hydra,Young Silver Dragon,9,0,0
Hydra,Young Blue Dragon,9,0,0
Tyrannosaurus Rex,Young Bronze Dragon,9,0,0
Tyrannosaurus Rex,Bone Devil,0,9,0
Tyrannosaurus Rex,Clay Golem,3,6,0
Tyrannosaurus Rex,Fire Giant,2,7,0
Tyrannosaurus Rex,Young Blue Dragon,8,1,0
Tyrannosaurus Rex,Treant,0,9,0
Tyrannosaurus Rex,Young Silver Dragon,9,0,0
Tyrannosaurus Rex,Deva,4,5,0
Young Bronze Dragon,Bone Devil,0,9,0
Young Bronze Dragon,Clay Golem,1,8,0
Young Bronze Dragon,Fire Giant,0,9,0
Young Bronze Dragon,Young Blue Dragon,3,6,0
Young Bronze Dragon,Young Silver Dragon,5,4,0
Young Bronze Dragon,Treant,2,7,0
Young Bronze Dragon,Deva,1,8,0
Bone Devil,Clay Golem,2,7,0
Bone Devil,Fire Giant,7,2,0
Bone Devil,Young Blue Dragon,9,0,0
Bone Devil,Treant,9,0,0
Bone Devil,Young Silver Dragon,9,0,0
Bone Devil,Deva,8,1,0
Bone Devil,Stone Golem,0,9,0
Bone Devil,Young Gold Dragon,9,0,0
Clay Golem,Fire Giant,2,7,0
Clay Golem,Treant,0,9,0
Clay Golem,Young Silver Dragon,0,9,0
Clay Golem,Young Blue Dragon,3,6,0
Clay Golem,Deva,4,5,0
Clay Golem,Stone Golem,1,8,0
Clay Golem,Young Gold Dragon,1,8,0
Fire Giant,Treant,6,3,0
Fire Giant,Young Silver Dragon,9,0,0
Fire Giant,Young Blue Dragon,6,3,0
Fire Giant,Deva,8,1,0
Fire Giant,Stone Golem,2,7,0
Fire Giant,Young Gold Dragon,9,0,0
Treant,Young Blue Dragon,1,8,0
Treant,Young Silver Dragon,3,6,0
Treant,Deva,4,5,0
Treant,Stone Golem,0,9,0
Treant,Young Gold Dragon,2,7,0
Young Blue Dragon,Young Silver Dragon,6,3,0
Young Blue Dragon,Deva,6,3,0
Young Blue Dragon,Stone Golem,0,9,0
Young Blue Dragon,Young Gold Dragon,5,4,0
Young Silver Dragon,Deva,4,5,0
Young Silver Dragon,Stone Golem,0,9,0
Young Silver Dragon,Young Gold Dragon,4,5,0
Deva,Stone Golem,2,7,0
Deva,Young Gold Dragon,6,3,0
Deva,Roc,3,6,0
Stone Golem,Young Gold Dragon,9,0,0
Stone Golem,Roc,5,4,0
Stone Golem,Adult Brass Dragon,8,1,0
Young Gold Dragon,Roc,0,9,0
Young Gold Dragon,Adult Brass Dragon,0,9,0
Young Gold Dragon,Beholder,0,9,0
Roc,Adult Brass Dragon,5,4,0
Roc,Beholder,0,9,0
Roc,Adult Black Dragon,2,7,0
Roc,Adult Copper Dragon,5,4,0
Roc,Death Tyrant,0,9,0
Adult Brass Dragon,Beholder,0,9,0
Adult Brass Dragon,Adult Black Dragon,0,9,0
Adult Brass Dragon,Death Tyrant,0,9,0
Adult Brass Dragon,Adult Copper Dragon,3,6,0
Adult Brass Dragon,Adult Bronze Dragon,1,8,0
Adult Brass Dragon,Purple Worm,0,9,0
Beholder,Death Tyrant,1,8,0
Beholder,Adult Black Dragon,9,0,0
Beholder,Adult Copper Dragon,9,0,0
Beholder,Adult Bronze Dragon,9,0,0
Beholder,Purple Worm,9,0,0
Adult Black Dragon,Adult Copper Dragon,5,4,0
Adult Black Dragon,Death Tyrant,0,9,0
Adult Black Dragon,Adult Bronze Dragon,3,6,0
Adult Black Dragon,Purple Worm,1,8,0
Adult Black Dragon,Adult Blue Dragon,1,8,0
Adult Black Dragon,Adult Silver Dragon,3,6,0
Adult Black Dragon,Adult Blue Dracolich,0,9,0
Adult Copper Dragon,Death Tyrant,0,9,0
Adult Black Dragon,Adult Gold Dragon,2,7,0
Adult Copper Dragon,Adult Bronze Dragon,2,7,0
Adult Copper Dragon,Purple Worm,1,8,0
Adult Copper Dragon,Adult Blue Dragon,0,9,0
Adult Copper Dragon,Adult Silver Dragon,2,7,0
Adult Copper Dragon,Adult Blue Dracolich,0,9,0
Adult Copper Dragon,Adult Gold Dragon,0,9,0
Death Tyrant,Adult Bronze Dragon,9,0,0
Death Tyrant,Purple Worm,9,0,0
Death Tyrant,Adult Blue Dragon,8,1,0
Death Tyrant,Adult Silver Dragon,9,0,0
Death Tyrant,Adult Blue Dracolich,6,3,0
Death Tyrant,Adult Gold Dragon,8,1,0
Adult Bronze Dragon,Purple Worm,0,9,0
Adult Bronze Dragon,Adult Blue Dragon,4,5,0
Adult Bronze Dragon,Adult Silver Dragon,2,7,0
Adult Bronze Dragon,Adult Blue Dracolich,1,8,0
Adult Bronze Dragon,Adult Gold Dragon,0,9,0
Purple Worm,Adult Blue Dragon,9,0,0
Purple Worm,Adult Silver Dragon,8,1,0
Purple Worm,Adult Blue Dracolich,7,2,0
Purple Worm,Adult Gold Dragon,6,3,0
Purple Worm,Goristro,4,5,0
Adult Blue Dragon,Adult Silver Dragon,7,2,0
Adult Blue Dragon,Adult Blue Dracolich,0,9,0
Adult Blue Dragon,Adult Gold Dragon,4,5,0
Adult Blue Dragon,Goristro,0,9,0
Adult Blue Dragon,Ancient Brass Dragon,0,9,0
Adult Silver Dragon,Adult Blue Dracolich,1,8,0
Adult Silver Dragon,Adult Gold Dragon,1,8,0
Adult Silver Dragon,Goristro,0,9,0
Adult Silver Dragon,Ancient Brass Dragon,0,9,0
Adult Silver Dragon,Ancient Black Dragon,0,9,0
Adult Blue Dracolich,Adult Gold Dragon,7,2,0
Adult Blue Dracolich,Goristro,0,9,0
Adult Blue Dracolich,Ancient Brass Dragon,0,9,0
Adult Blue Dracolich,Ancient Black Dragon,0,9,0
Adult Blue Dracolich,Ancient Copper Dragon,0,9,0
Adult Blue Dracolich,Ancient Bronze Dragon,0,9,0
Adult Gold Dragon,Goristro,0,9,0
Adult Blue Dracolich,Solar,0,9,0
Adult Gold Dragon,Ancient Brass Dragon,0,9,0
Adult Gold Dragon,Ancient Black Dragon,0,9,0
Adult Gold Dragon,Ancient Copper Dragon,0,9,0
Adult Gold Dragon,Ancient Bronze Dragon,0,9,0
Adult Gold Dragon,Solar,0,9,0
Goristro,Ancient Brass Dragon,6,3,0
Goristro,Ancient Black Dragon,0,9,0
Goristro,Ancient Copper Dragon,2,7,0
Goristro,Ancient Bronze Dragon,0,9,0
Goristro,Ancient Blue Dragon,0,9,0
Goristro,Ancient Silver Dragon,0,9,0
Goristro,Ancient Gold Dragon,0,9,0
Ancient Brass Dragon,Ancient Black Dragon,0,9,0
Ancient Brass Dragon,Ancient Copper Dragon,0,9,0
Ancient Brass Dragon,Ancient Bronze Dragon,0,9,0
Ancient Brass Dragon,Ancient Blue Dragon,0,9,0
Ancient Brass Dragon,Ancient Silver Dragon,0,9,0
Ancient Brass Dragon,Ancient Gold Dragon,0,9,0
Ancient Brass Dragon,Solar,0,9,0
Goristro,Solar,0,9,0
Ancient Black Dragon,Ancient Copper Dragon,6,3,0
Ancient Black Dragon,Ancient Bronze Dragon,4,5,0
Ancient Black Dragon,Ancient Blue Dragon,0,9,0
Ancient Black Dragon,Solar,7,2,0
Ancient Black Dragon,Ancient Silver Dragon,2,7,0
Ancient Black Dragon,Ancient Gold Dragon,1,8,0
Ancient Copper Dragon,Ancient Bronze Dragon,0,9,0
Ancient Copper Dragon,Ancient Blue Dragon,0,9,0
Ancient Copper Dragon,Ancient Silver Dragon,0,9,0
Ancient Copper Dragon,Ancient Gold Dragon,0,9,0
Ancient Copper Dragon,Solar,0,9,0
Solar,Ancient Blue Dragon,0,9,0
Solar,Ancient Silver Dragon,1,8,0
Solar,Ancient Bronze Dragon,5,4,0
Solar,Ancient Gold Dragon,0,9,0
Ancient Bronze Dragon,Ancient Blue Dragon,1,8,0
Ancient Bronze Dragon,Ancient Silver Dragon,1,8,0
Ancient Bronze Dragon,Ancient Gold Dragon,0,9,0
Ancient Blue Dragon,Ancient Silver Dragon,9,0,0
Ancient Blue Dragon,Ancient Gold Dragon,6,3,0
Ancient Silver Dragon,Ancient Gold Dragon,1,8,0
Adult Kruthik,Specter,9,0,0
Adult Kruthik,Quadrone,9,0,0
Adult Kruthik,Quaggoth Spore Servant,4,5,0
Adult Kruthik,Sea Spawn,8,1,0
Adult Kruthik,Spy,9,0,0
Adult Kruthik,Quickling,5,4,0
Adult Kruthik,Stone Cursed,5,4,0
Adult Kruthik,Swarm of Quippers,4,5,0
Adult Kruthik,Thorny Vegepygmy,0,9,0
Adult Kruthik,Thri-kreen,6,3,0
Adult Kruthik,Tiger,9,0,0
Adult Kruthik,Ankheg,5,4,0
Adult Kruthik,Aurochs,4,5,0
Adult Kruthik,Azer,2,7,0
Adult Kruthik,Awakened Tree,1,8,0
Adult Kruthik,Berbalang,2,7,0
Adult Kruthik,Berserker,5,4,0
Adult Kruthik,Allosaurus,4,5,0
Adult Kruthik,Bronze Dragon Wyrmling,7,2,0
Adult Kruthik,Cave Bear,2,7,0
Adult Kruthik,Black Dragon Wyrmling,6,3,0
Adult Kruthik,Carrion Crawler,1,8,0
Adult Kruthik,Centaur,6,3,0
Air Elemental Myrmidon,Galeb Duhr,9,0,0
Air Elemental Myrmidon,Invisible Stalker,9,0,0
Air Elemental Myrmidon,White Abishai,7,2,0
Air Elemental Myrmidon,Mammoth,7,2,0
Air Elemental Myrmidon,Mouth of Grolantor,9,0,0
Air Elemental Myrmidon,Young Brass Dragon,7,2,0
Air Elemental Myrmidon,Wyvern,9,0,0
Air Elemental Myrmidon,Black Abishai,9,0,0
Air Elemental Myrmidon,Armanite,6,3,0
Air Elemental Myrmidon,Blue Slaad,4,5,0
Air Elemental Myrmidon,Earth Elemental Myrmidon,7,2,0
Air Elemental Myrmidon,Fire Elemental Myrmidon,2,7,0
Air Elemental Myrmidon,Grick Alpha,5,4,0
Air Elemental Myrmidon,Maurezhi,9,0,0
Air Elemental Myrmidon,Lost Sorrowsworn,8,1,0
Air Elemental Myrmidon,Giant Ape,5,4,0
Alkilith,Deva,9,0,0
Alkilith,Froghemoth,8,1,0
Alkilith,Stone Golem,8,1,0
Alkilith,Balhannoth,9,0,0
Alkilith,Young Gold Dragon,9,0,0
Alkilith,Hungry Sorrowsworn,9,0,0
Alkilith,Spirit Troll,0,9,0
Alkilith,Roc,9,0,0
Angry Sorrowsworn,Frost Giant Everlasting One,3,6,0
Angry Sorrowsworn,Gray Render,5,4,0
Angry Sorrowsworn,Warlord,8,1,0
Angry Sorrowsworn,Beholder,0,9,0
Angry Sorrowsworn,Adult Brass Dragon,6,3,0
Angry Sorrowsworn,Adult Black Dragon,2,7,0
Angry Sorrowsworn,Adult Copper Dragon,5,4,0
Archer,Rug of Smothering,8,1,0
Archer,Saber-Toothed Tiger,3,6,0
Archer,Shadow Mastiff,8,1,0
Archer,Spined Devil,9,0,0
Archer,Silver Dragon Wyrmling,9,0,0
Archer,Swarm of Poisonous Snakes,0,9,0
Archer,Wererat,9,0,0
Archer,Will-o'-Wisp,8,1,0
Archer,Yuan-ti Broodguard,8,1,0
Archer,Bearded Devil,4,5,0
Archer,Ankylosaurus,1,8,0
Archer,Tortle Druid,6,3,0
Archer,Blue Dragon Wyrmling,8,1,0
Archer,Dolphin Delighter,9,0,0
Archer,Doppelganger,9,0,0
Archer,Duergar Screamer,9,0,0
Archer,Displacer Beast,4,5,0
Archer,Choldrith,4,5,0
Archer,Giant Scorpion,1,8,0
Armanite,Invisible Stalker,6,3,0
Armanite,White Abishai,8,1,0
Armanite,Wyvern,8,1,0
Armanite,Young Brass Dragon,4,5,0
Armanite,Mouth of Grolantor,8,1,0
Armanite,Mammoth,2,7,0
Armanite,Black Abishai,7,2,0
Armanite,Blue Slaad,5,4,0
Armanite,Earth Elemental Myrmidon,6,3,0
Armanite,Fire Elemental Myrmidon,2,7,0
Armanite,Giant Ape,0,9,0
Armanite,Grick Alpha,0,9,0
Armanite,Lost Sorrowsworn,0,9,0
Armanite,Maurezhi,6,3,0
Armanite,Shadar-kai Shadow Dancer,7,2,0
Astral Dreadnought,Ancient Brass Dragon,9,0,0
Astral Dreadnought,Ancient Black Dragon,0,9,0
Astral Dreadnought,Ancient Copper Dragon,9,0,0
Astral Dreadnought,Molydeus,9,0,0
Astral Dreadnought,Baphomet,9,0,0
Astral Dreadnought,Solar,9,0,0
Astral Dreadnought,Ancient Bronze Dragon,9,0,0
Aurochs,Quickling,6,3,0
Astral Dreadnought,Ancient Blue Dragon,0,9,0
Aurochs,Specter,9,0,0
Astral Dreadnought,Ancient Silver Dragon,3,6,0
Aurochs,Sea Spawn,9,0,0
Aurochs,Thorny Vegepygmy,2,7,0
Aurochs,Spy,9,0,0
Aurochs,Thri-kreen,7,2,0
Aurochs,Swarm of Quippers,9,0,0
Aurochs,Stone Cursed,7,2,0
Aurochs,Tiger,9,0,0
Aurochs,Ankheg,7,2,0
Aurochs,Azer,6,3,0
Aurochs,Berbalang,3,6,0
Aurochs,Awakened Tree,0,9,0
Aurochs,Berserker,6,3,0
Aurochs,Allosaurus,3,6,0
